id,date,store_nbr,item_nbr,city,type_store,cluster,family,perishable,type_holiday,locale,transferred,unit_sales
0,1/1/13,25,103665,Salinas,D,1,GROCERY I,0.0,Holiday,National,False,7.0
0,1/1/13,25,103665,Salinas,D,1,BREAD/BAKERY,1.0,Holiday,National,False,7.0
1,1/1/13,25,105574,Salinas,D,1,GROCERY I,0.0,Holiday,National,False,1.0
2,1/1/13,25,105575,Salinas,D,1,GROCERY I,0.0,Holiday,National,False,2.0
3,1/1/13,25,108079,Salinas,D,1,GROCERY I,0.0,Holiday,National,False,1.0
4,1/1/13,25,108701,Salinas,D,1,DELI,1.0,Holiday,National,False,1.0
578,1/2/13,1,103665,Quito,D,13,GROCERY I,0.0,,,,2.0
578,1/2/13,1,103665,Quito,D,13,BREAD/BAKERY,1.0,,,,2.0
579,1/2/13,1,105574,Quito,D,13,GROCERY I,0.0,,,,8.0
580,1/2/13,1,105575,Quito,D,13,GROCERY I,0.0,,,,15.0
581,1/2/13,1,105577,Quito,D,13,GROCERY I,0.0,,,,2.0
582,1/2/13,1,105737,Quito,D,13,GROCERY I,0.0,,,,2.0
583,1/2/13,1,105857,Quito,D,13,GROCERY I,0.0,,,,12.0
584,1/2/13,1,106716,Quito,D,13,GROCERY I,0.0,,,,2.0
585,1/2/13,1,108696,Quito,D,13,DELI,1.0,,,,3.0
586,1/2/13,1,108698,Quito,D,13,DELI,1.0,,,,6.0
587,1/2/13,1,108701,Quito,D,13,DELI,1.0,,,,3.0
1596,1/2/13,2,103665,Quito,D,13,BREAD/BAKERY,1.0,,,,5.0
1596,1/2/13,2,103665,Quito,D,13,GROCERY I,0.0,,,,5.0
1597,1/2/13,2,105574,Quito,D,13,GROCERY I,0.0,,,,21.0
1598,1/2/13,2,105577,Quito,D,13,GROCERY I,0.0,,,,6.0
1599,1/2/13,2,105693,Quito,D,13,GROCERY I,0.0,,,,4.0
1600,1/2/13,2,105737,Quito,D,13,GROCERY I,0.0,,,,9.0
1601,1/2/13,2,105857,Quito,D,13,GROCERY I,0.0,,,,5.0
1602,1/2/13,2,106716,Quito,D,13,GROCERY I,0.0,,,,10.0
1603,1/2/13,2,108079,Quito,D,13,GROCERY I,0.0,,,,1.0
1604,1/2/13,2,108696,Quito,D,13,DELI,1.0,,,,5.0
1605,1/2/13,2,108698,Quito,D,13,DELI,1.0,,,,6.0
1606,1/2/13,2,108701,Quito,D,13,DELI,1.0,,,,4.0
2699,1/2/13,3,103665,Quito,D,8,BREAD/BAKERY,1.0,,,,6.0
2699,1/2/13,3,103665,Quito,D,8,GROCERY I,0.0,,,,6.0
2700,1/2/13,3,105574,Quito,D,8,GROCERY I,0.0,,,,36.0
2701,1/2/13,3,105575,Quito,D,8,GROCERY I,0.0,,,,21.0
2702,1/2/13,3,105577,Quito,D,8,GROCERY I,0.0,,,,6.0
2703,1/2/13,3,105693,Quito,D,8,GROCERY I,0.0,,,,2.0
2704,1/2/13,3,105737,Quito,D,8,GROCERY I,0.0,,,,12.0
2705,1/2/13,3,105857,Quito,D,8,GROCERY I,0.0,,,,36.0
2706,1/2/13,3,106716,Quito,D,8,GROCERY I,0.0,,,,11.0
2707,1/2/13,3,108079,Quito,D,8,GROCERY I,0.0,,,,2.0
2708,1/2/13,3,108696,Quito,D,8,DELI,1.0,,,,9.0
2709,1/2/13,3,108698,Quito,D,8,DELI,1.0,,,,15.0
3900,1/2/13,4,103665,Quito,D,9,BREAD/BAKERY,1.0,,,,2.0
3900,1/2/13,4,103665,Quito,D,9,GROCERY I,0.0,,,,2.0
3901,1/2/13,4,105574,Quito,D,9,GROCERY I,0.0,,,,15.0
3902,1/2/13,4,105575,Quito,D,9,GROCERY I,0.0,,,,23.0
3903,1/2/13,4,105577,Quito,D,9,GROCERY I,0.0,,,,3.0
3904,1/2/13,4,105693,Quito,D,9,GROCERY I,0.0,,,,4.0
3905,1/2/13,4,105737,Quito,D,9,GROCERY I,0.0,,,,5.0
3906,1/2/13,4,105857,Quito,D,9,GROCERY I,0.0,,,,3.0
3907,1/2/13,4,106716,Quito,D,9,GROCERY I,0.0,,,,5.0
3908,1/2/13,4,108696,Quito,D,9,DELI,1.0,,,,2.0
3909,1/2/13,4,108698,Quito,D,9,DELI,1.0,,,,5.0
4949,1/2/13,5,103665,Santo Domingo,D,4,BREAD/BAKERY,1.0,,,,9.0
4949,1/2/13,5,103665,Santo Domingo,D,4,GROCERY I,0.0,,,,9.0
4950,1/2/13,5,105574,Santo Domingo,D,4,GROCERY I,0.0,,,,32.0
4951,1/2/13,5,105575,Santo Domingo,D,4,GROCERY I,0.0,,,,34.0
4952,1/2/13,5,105577,Santo Domingo,D,4,GROCERY I,0.0,,,,17.0
4953,1/2/13,5,105693,Santo Domingo,D,4,GROCERY I,0.0,,,,9.0
4954,1/2/13,5,105737,Santo Domingo,D,4,GROCERY I,0.0,,,,6.0
4955,1/2/13,5,105857,Santo Domingo,D,4,GROCERY I,0.0,,,,7.0
4956,1/2/13,5,106716,Santo Domingo,D,4,GROCERY I,0.0,,,,6.0
4957,1/2/13,5,108696,Santo Domingo,D,4,DELI,1.0,,,,4.0
4958,1/2/13,5,108698,Santo Domingo,D,4,DELI,1.0,,,,1.0
4959,1/2/13,5,108701,Santo Domingo,D,4,DELI,1.0,,,,6.0
5984,1/2/13,6,103665,Quito,D,13,GROCERY I,0.0,,,,6.0
5984,1/2/13,6,103665,Quito,D,13,BREAD/BAKERY,1.0,,,,6.0
5985,1/2/13,6,105574,Quito,D,13,GROCERY I,0.0,,,,4.0
5986,1/2/13,6,105575,Quito,D,13,GROCERY I,0.0,,,,16.0
5987,1/2/13,6,105577,Quito,D,13,GROCERY I,0.0,,,,5.0
5988,1/2/13,6,105693,Quito,D,13,GROCERY I,0.0,,,,4.0
5989,1/2/13,6,105737,Quito,D,13,GROCERY I,0.0,,,,8.0
5990,1/2/13,6,105857,Quito,D,13,GROCERY I,0.0,,,,20.0
5991,1/2/13,6,108079,Quito,D,13,GROCERY I,0.0,,,,2.0
5992,1/2/13,6,108696,Quito,D,13,DELI,1.0,,,,3.0
7109,1/2/13,7,103665,Quito,D,8,GROCERY I,0.0,,,,4.0
7109,1/2/13,7,103665,Quito,D,8,BREAD/BAKERY,1.0,,,,4.0
