date,type,locale,locale_name,description,transferred
3/2/12,Holiday,Local,Manta,Fundacion de Manta,FALSE
4/1/12,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,FALSE
4/12/12,Holiday,Local,Cuenca,Fundacion de Cuenca,FALSE
4/14/12,Holiday,Local,Libertad,Cantonizacion de Libertad,FALSE
4/21/12,Holiday,Local,Riobamba,Cantonizacion de Riobamba,FALSE
5/12/12,Holiday,Local,Puyo,Cantonizacion del Puyo,FALSE
6/23/12,Holiday,Local,Guaranda,Cantonizacion de Guaranda,FALSE
6/25/12,Holiday,Regional,Imbabura,Provincializacion de Imbabura,FALSE
6/25/12,Holiday,Local,Latacunga,Cantonizacion de Latacunga,FALSE
6/25/12,Holiday,Local,Machala,Fundacion de Machala,FALSE
7/3/12,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,FALSE
7/3/12,Holiday,Local,El Carmen,Cantonizacion de El Carmen,FALSE
7/23/12,Holiday,Local,Cayambe,Cantonizacion de Cayambe,FALSE
8/5/12,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,FALSE
8/10/12,Holiday,National,Ecuador,Primer Grito de Independencia,FALSE
8/15/12,Holiday,Local,Riobamba,Fundacion de Riobamba,FALSE
8/24/12,Holiday,Local,Ambato,Fundacion de Ambato,FALSE
9/28/12,Holiday,Local,Ibarra,Fundacion de Ibarra,FALSE
10/7/12,Holiday,Local,Quevedo,Cantonizacion de Quevedo,FALSE
10/9/12,Holiday,National,Ecuador,Independencia de Guayaquil,TRUE
10/12/12,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,FALSE
11/2/12,Holiday,National,Ecuador,Dia de Difuntos,FALSE
11/3/12,Holiday,National,Ecuador,Independencia de Cuenca,FALSE
11/6/12,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo,FALSE
11/7/12,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,FALSE
11/10/12,Holiday,Local,Guaranda,Independencia de Guaranda,FALSE
11/11/12,Holiday,Local,Latacunga,Independencia de Latacunga,FALSE
11/12/12,Holiday,Local,Ambato,Independencia de Ambato,FALSE
12/5/12,Additional,Local,Quito,Fundacion de Quito-1,FALSE
12/6/12,Holiday,Local,Quito,Fundacion de Quito,FALSE
12/8/12,Holiday,Local,Loja,Fundacion de Loja,FALSE
12/21/12,Additional,National,Ecuador,Navidad-4,FALSE
12/22/12,Holiday,Local,Salinas,Cantonizacion de Salinas,FALSE
12/22/12,Additional,National,Ecuador,Navidad-3,FALSE
12/23/12,Additional,National,Ecuador,Navidad-2,FALSE
12/24/12,Bridge,National,Ecuador,Puente Navidad,FALSE
12/24/12,Additional,National,Ecuador,Navidad-1,FALSE
12/25/12,Holiday,National,Ecuador,Navidad,FALSE
