id,date,store_nbr,item_nbr,unit_sales,onpromotion
721067,1/19/13,47,96995,4,
759792,1/20/13,44,96995,4,
1042553,1/27/13,44,96995,4,
408422,1/12/13,7,96995,3,
523959,1/14/13,51,96995,3,
645418,1/18/13,2,96995,3,
728361,1/20/13,2,96995,3,
745650,1/20/13,24,96995,3,
761055,1/20/13,45,96995,3,
811061,1/22/13,2,96995,3,
879279,1/23/13,44,96995,3,
985903,1/26/13,24,96995,3,
1007781,1/26/13,50,96995,3,
1013767,1/27/13,4,96995,3,
207764,1/7/13,2,96995,2,
282601,1/8/13,50,96995,2,
302230,1/9/13,24,96995,2,
325215,1/10/13,2,96995,2,
358962,1/10/13,49,96995,2,
365834,1/11/13,4,96995,2,
368936,1/11/13,7,96995,2,
392205,1/11/13,44,96995,2,
398098,1/11/13,49,96995,2,
399183,1/11/13,50,96995,2,
405209,1/12/13,4,96995,2,
419989,1/12/13,24,96995,2,
433910,1/12/13,44,96995,2,
475969,1/13/13,44,96995,2,
479666,1/13/13,47,96995,2,
526468,1/15/13,2,96995,2,
571647,1/16/13,7,96995,2,
622071,1/17/13,24,96995,2,
644444,1/18/13,1,96995,2,
651854,1/18/13,8,96995,2,
678080,1/18/13,47,96995,2,
685239,1/19/13,2,96995,2,
689727,1/19/13,6,96995,2,
767136,1/20/13,50,96995,2,
772031,1/21/13,3,96995,2,
787424,1/21/13,24,96995,2,
841305,1/22/13,45,96995,2,
886264,1/23/13,50,96995,2,
918133,1/24/13,44,96995,2,
935011,1/25/13,8,96995,2,
944616,1/25/13,24,96995,2,
961304,1/25/13,47,96995,2,
970785,1/26/13,4,96995,2,
972923,1/26/13,6,96995,2,
1015872,1/27/13,6,96995,2,
196657,1/6/13,44,96995,1,
236538,1/7/13,44,96995,1,
275800,1/8/13,44,96995,1,
314674,1/9/13,44,96995,1,
318254,1/9/13,47,96995,1,
324276,1/10/13,1,96995,1,
353302,1/10/13,44,96995,1,
359995,1/10/13,50,96995,1,
361049,1/10/13,51,96995,1,
362634,1/11/13,1,96995,1,
381401,1/11/13,26,96995,1,
387296,1/11/13,37,96995,1,
393428,1/11/13,45,96995,1,
400276,1/11/13,51,96995,1,
402880,1/12/13,2,96995,1,
407275,1/12/13,6,96995,1,
428604,1/12/13,37,96995,1,
429668,1/12/13,38,96995,1,
437616,1/12/13,47,96995,1,
442369,1/12/13,51,96995,1,
447099,1/13/13,4,96995,1,
448187,1/13/13,5,96995,1,
449234,1/13/13,6,96995,1,
470616,1/13/13,37,96995,1,
486204,1/14/13,1,96995,1,
491325,1/14/13,6,96995,1,
511189,1/14/13,37,96995,1,
519567,1/14/13,47,96995,1,
521841,1/14/13,49,96995,1,
528653,1/15/13,4,96995,1,
550774,1/15/13,37,96995,1,
561450,1/15/13,49,96995,1,
563580,1/15/13,51,96995,1,
566229,1/16/13,2,96995,1,
567278,1/16/13,3,96995,1,
582436,1/16/13,24,96995,1,
596706,1/16/13,45,96995,1,
599080,1/16/13,47,96995,1,
603638,1/16/13,51,96995,1,
607249,1/17/13,3,96995,1,
608438,1/17/13,4,96995,1,
610356,1/17/13,6,96995,1,
612413,1/17/13,8,96995,1,
640753,1/17/13,49,96995,1,
647697,1/18/13,4,96995,1,
669520,1/18/13,37,96995,1,
670537,1/18/13,38,96995,1,
